,0
2019-09-09 00:00:00,245.86881340473127
2019-09-09 01:00:00,219.51491754459144
2019-09-09 02:00:00,218.79227497833455
2019-09-09 03:00:00,226.29514728992893
2019-09-09 04:00:00,231.17796464837696
2019-09-09 05:00:00,249.82450273631935
2019-09-09 06:00:00,353.8013428448812
2019-09-09 07:00:00,466.79120298905065
2019-09-09 08:00:00,590.9794333511345
2019-09-09 09:00:00,639.8167469054317
2019-09-09 10:00:00,636.0127842882965
2019-09-09 11:00:00,618.5855167604271
2019-09-09 12:00:00,576.8649869453169
2019-09-09 13:00:00,611.7394401208272
2019-09-09 14:00:00,613.0993384789901
2019-09-09 15:00:00,613.9205737241614
2019-09-09 16:00:00,584.7981644639723
2019-09-09 17:00:00,536.5355958618654
2019-09-09 18:00:00,518.7538102624098
2019-09-09 19:00:00,503.66364588637316
2019-09-09 20:00:00,501.8096651742611
2019-09-09 21:00:00,497.6836106699836
2019-09-09 22:00:00,483.7272750752546
2019-09-09 23:00:00,497.62675984796283
2019-09-10 00:00:00,455.32667969287775
2019-09-10 01:00:00,447.26676835272036
2019-09-10 02:00:00,451.944516085555
2019-09-10 03:00:00,463.402478920125
2019-09-10 04:00:00,462.1555421828319
2019-09-10 05:00:00,437.85407866467995
2019-09-10 06:00:00,449.20343721809786
2019-09-10 07:00:00,558.9779862590499
2019-09-10 08:00:00,675.0828590105456
2019-09-10 09:00:00,687.6245658632195
2019-09-10 10:00:00,690.5180541716834
2019-09-10 11:00:00,688.9687945367633
2019-09-10 12:00:00,609.2280572031917
2019-09-10 13:00:00,661.5634416970389
2019-09-10 14:00:00,636.0598429305711
2019-09-10 15:00:00,640.4524953634635
2019-09-10 16:00:00,588.9402081029256
2019-09-10 17:00:00,534.7538355407526
2019-09-10 18:00:00,522.3468126181687
2019-09-10 19:00:00,526.6098841149435
2019-09-10 20:00:00,537.85054984076
2019-09-10 21:00:00,563.2129716202081
2019-09-10 22:00:00,552.4436015835266
2019-09-10 23:00:00,512.2973338553488
2019-09-11 00:00:00,449.3523590711814
2019-09-11 01:00:00,431.82821329396893
2019-09-11 02:00:00,429.35059256176834
2019-09-11 03:00:00,418.7954706806766
2019-09-11 04:00:00,399.2066946337765
2019-09-11 05:00:00,373.04940218993426
2019-09-11 06:00:00,395.2221253368065
2019-09-11 07:00:00,510.6325202162314
2019-09-11 08:00:00,645.359719617668
2019-09-11 09:00:00,654.0921348330085
2019-09-11 10:00:00,654.3821972120214
2019-09-11 11:00:00,693.4730462661622
2019-09-11 12:00:00,628.8779520823872
2019-09-11 13:00:00,677.3747517329563
2019-09-11 14:00:00,681.1854659324326
2019-09-11 15:00:00,667.0640937238975
2019-09-11 16:00:00,629.5861992913622
2019-09-11 17:00:00,571.0839940074436
2019-09-11 18:00:00,560.5949542566829
2019-09-11 19:00:00,580.5024108239722
2019-09-11 20:00:00,569.0300482292015
2019-09-11 21:00:00,587.4143527958389
2019-09-11 22:00:00,569.3521835241515
2019-09-11 23:00:00,537.0774194720493
2019-09-12 00:00:00,460.97058520490435
2019-09-12 01:00:00,448.26648797159964
2019-09-12 02:00:00,445.5094090570927
2019-09-12 03:00:00,419.3995021422444
2019-09-12 04:00:00,400.14756481050307
2019-09-12 05:00:00,376.37621903607345
2019-09-12 06:00:00,405.655911814037
2019-09-12 07:00:00,531.5797966663732
2019-09-12 08:00:00,682.2170157644532
2019-09-12 09:00:00,688.5268511877541
2019-09-12 10:00:00,692.0864967447777
2019-09-12 11:00:00,726.731006855528
2019-09-12 12:00:00,686.053948910824
2019-09-12 13:00:00,698.4303129620688
2019-09-12 14:00:00,724.3379570541126
2019-09-12 15:00:00,736.9906128674377
2019-09-12 16:00:00,686.2663866494419
2019-09-12 17:00:00,632.754900594855
2019-09-12 18:00:00,585.2430716064234
2019-09-12 19:00:00,618.2245523258804
2019-09-12 20:00:00,588.9950246927402
2019-09-12 21:00:00,592.972232991526
2019-09-12 22:00:00,575.4196924221288
2019-09-12 23:00:00,547.960454966645
2019-09-13 00:00:00,477.2662925712163
2019-09-13 01:00:00,448.29180929708986
2019-09-13 02:00:00,423.19598112779994
2019-09-13 03:00:00,410.6881356026754
2019-09-13 04:00:00,399.5418303738623
2019-09-13 05:00:00,385.322251419449
2019-09-13 06:00:00,426.4321702296389
2019-09-13 07:00:00,511.9291101189027
2019-09-13 08:00:00,605.0840915003067
2019-09-13 09:00:00,630.3072263020026
2019-09-13 10:00:00,639.9831506409665
2019-09-13 11:00:00,639.4177611763132
2019-09-13 12:00:00,595.1073222250598
2019-09-13 13:00:00,653.5701668096623
2019-09-13 14:00:00,661.018096464756
2019-09-13 15:00:00,650.819703220859
2019-09-13 16:00:00,653.107146248645
2019-09-13 17:00:00,563.8101342838362
2019-09-13 18:00:00,553.1668372757032
2019-09-13 19:00:00,560.8620874327855
2019-09-13 20:00:00,554.3364650536543
2019-09-13 21:00:00,532.2364424963872
2019-09-13 22:00:00,538.31104120252
2019-09-13 23:00:00,531.7946459168322
2019-09-14 00:00:00,444.8227706810994
2019-09-14 01:00:00,453.37360533353535
2019-09-14 02:00:00,441.13254518837573
2019-09-14 03:00:00,435.8106071911814
2019-09-14 04:00:00,428.74379183131185
2019-09-14 05:00:00,393.24743923014296
2019-09-14 06:00:00,359.8056680408037
2019-09-14 07:00:00,339.7452512133579
2019-09-14 08:00:00,395.100334977698
2019-09-14 09:00:00,465.4226761658894
2019-09-14 10:00:00,483.33740959083644
2019-09-14 11:00:00,503.16565236701933
2019-09-14 12:00:00,504.0650255268084
